trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Welcome.started,Welcome.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,text_Yawning.started,text_Yawning.stopped,button_yawning.started,button_yawning.stopped,button_yawning.numClicks,button_yawning.timesOn,button_yawning.timesOff,image_2.started,image_2.stopped,text_3.started,text_3.stopped,button_3.started,button_3.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,image_3.started,image_3.stopped,text_4.started,text_4.stopped,button_4.started,button_4.stopped,button_4.numClicks,button_4.timesOn,button_4.timesOff,image_4.started,image_4.stopped,text_6.started,text_6.stopped,button_5.started,button_5.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,image_5.started,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,16.07382689998485,None,17.0268025000114,None,1,[28.368066400056705],[28.368069700081833],16.07382689998485,None,69.14530610002112,None,46.40049040003214,None,47.37942510005087,None,1,[20.76425299991388],[20.764255999936722],46.40049040003214,None,68.14364859997295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,71.14624999999069,None,,,,,,,,,,70.14946350001264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,,,,,,,78.32337750005536,None,,,,,,,,,,,,72.14447190007195,None,73.1231953999959,None,1,[4.192956399987452],[4.192959200008772],77.32173079997301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,,,,,,,80.31676750001498,None,,,,,,,,,,,,,,,,,,,79.31938840006478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,,,,,,,82.31742920004763,None,,,,,,,,,,,,,,,,,,,81.31194749998394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,241.10506349999923,None,,,,,,,,,,,,,,,,,,,,,83.32001769996714,None,84.2955387000693,None,1,[8.882068100036122],[8.882071599946357],93.1783723999979,None,95.18020810000598,None,96.15809979999904,None,1,[143.94490120001137],[143.94490819994826],240.11100819997955,None,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,243.09883620007895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.09923150006216,None,,,,,,,,,,,001,2021_Dec_03_1210,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,533.7882332999725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0969065000536,None,244.0969065000536,None,1,[288.6861453000456],[288.68614830006845],534.7943850000156,None,,,,,,,
