trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Welcome.started,Welcome.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,text_Yawning.started,text_Yawning.stopped,button_yawning.started,button_yawning.stopped,button_yawning.numClicks,button_yawning.timesOn,button_yawning.timesOff,image_2.started,image_2.stopped,text_3.started,text_3.stopped,button_3.started,button_3.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,image_3.started,image_3.stopped,text_4.started,text_4.stopped,button_4.started,button_4.stopped,button_4.numClicks,button_4.timesOn,button_4.timesOff,image_4.started,image_4.stopped,text_6.started,text_6.stopped,button_5.started,button_5.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,image_5.started,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,10.146187799982727,None,11.104814199963585,None,1,[88.55664720002096],[88.55665059993044],10.146187799982727,None,194.96839509997517,None,100.66256949992385,None,101.64847949997056,None,1,[92.3142838999629],[92.31428679998498],100.66256949992385,None,194.00247409997974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
1,0,1,0,,,,,,,,,,,,,,,,,,196.96841869992204,None,,,,,,,,,,195.96823919995222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,0,0,0,0,,,,,,,,,,,,,,221.79642339993734,None,,,,,,,,,,,,197.96841869992204,None,198.95412050001323,None,1,[21.834148399997503],[21.83415139990393],220.79511339997407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,1,0,1,0,,,,,,,,,,,,,,223.79503979999572,None,,,,,,,,,,,,,,,,,,,222.79503759997897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,2,0,2,0,,,,,,,,,,,,,,225.79474219994154,None,,,,,,,,,,,,,,,,,,,224.79458149999846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,,,,,0,0,0,0,,,,,,,,,,307.88555509992875,None,,,,,,,,,,,,,,,,,,,,,226.79470319999382,None,227.78202209994197,None,1,[66.69683349994011],[66.69683829997666],294.48295029997826,None,296.4849116000114,None,297.47528679994866,None,1,[9.409526499919593],[9.40952969994396],306.88520869996864,None,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,,,,,1,0,1,0,,,,,,,,,,309.8855525999097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.88711549993604,None,,,,,,,,,,,001,2021_Dec_02_1646,food_intake,2021.2.3,143.58347000082034,
,,,,,,,,,,,,,,,,,,,,,333.7337379999226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.8855601999676,None,310.8855601999676,None,1,[21.841705399914645],[21.841708399937488],334.73318270000163,None,,,,,,,
