trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.760555999935605,None,,001,2021_Dec_01_2040,food_intake,2021.2.3,143.53565619027137,
1,0,1,0,7.767087199958041,None,,001,2021_Dec_01_2040,food_intake,2021.2.3,143.53565619027137,
