trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,textWelcomeMessage.started,textWelcomeMessage.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,text_Yawning.started,text_Yawning.stopped,button_yawning.started,button_yawning.stopped,button_yawning.numClicks,button_yawning.timesOn,button_yawning.timesOff,image_2.started,image_2.stopped,text_3.started,text_3.stopped,button_3.started,button_3.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,image_3.started,image_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.912130100070499,None,8.885381300002337,None,1,[1.4518435000209138],[1.4518466000445187],14.293397700064816,None,11.344987299991772,None,12.328562600072473,None,1,[0.9642009999370202],[0.9642040999606252],11.344987299991772,None,13.293529800022952,None,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1622,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,16.3002994999988,None,,,,,,,,,,15.2968049000483,None,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1622,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,19.71994890004862,None,,,,,,,,,,,,17.300680899992585,None,18.286543300026096,None,1,[0.4301357999211177],[0.43013929994776845],18.72223259997554,None,,,,,,,,,,,001,2021_Dec_01_1622,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,21.72394310007803,None,,,,,,,,,,,,,,,,,,,20.718434300040826,None,,,,,,,,,,,001,2021_Dec_01_1622,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,23.717694199993275,None,,,,,,,,,,,,,,,,,,,22.71803380001802,None,,,,,,,,,,,001,2021_Dec_01_1622,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,27.39154960005544,None,,,,,,,,,,,,,,,,,,,,,24.71780890005175,None,25.704289800021797,None,1,[0.6807756000198424],[0.6807783000404015],26.393465999979526,None,,,,,,,
