trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,textWelcomeMessage.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,text_Yawning.started,text_Yawning.stopped,button_yawning.started,button_yawning.stopped,button_yawning.numClicks,button_yawning.timesOn,button_yawning.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.038824299932458,None,9.01270670001395,None,1,[3.368965300032869],[3.368968900060281],55.23335669992957,None,13.394765299977735,None,14.373505000025034,None,1,[0.8543671000516042],[0.8543700999580324],13.394765299977735,None,15.233608199981973,None,,,,,,,,,001,2021_Dec_01_1517,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,96.22739979997277,None,,,,,,,,,,56.23561019997578,None,,,,,,,,,001,2021_Dec_01_1517,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,97.23422440001741,None,98.22220969991758,None,1,[6.041038900031708],[6.041042800061405],,,,,,,
