trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.728786600055173,None,,001,2021_Dec_01_2041,food_intake,2021.2.3,143.53709862951456,
1,0,1,0,8.7286357000703,None,,001,2021_Dec_01_2041,food_intake,2021.2.3,143.53709862951456,
