trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,001,2021_Dec_01_2058,food_intake,2021.2.3,143.89317380561315,
1,0,1,0,,001,2021_Dec_01_2058,food_intake,2021.2.3,143.89317380561315,
