trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.957242400036193,None,,001,2021_Dec_01_2043,food_intake,2021.2.3,143.29870748102505,
1,0,1,0,12.957540500094183,None,,001,2021_Dec_01_2043,food_intake,2021.2.3,143.29870748102505,
