trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,224.0719599002041,None,,,,,,,,,,,1639936203.305263,221.07193360012025,None,1639936206.305664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,231.07216770015657,None,,,,,,,,,,,1639936210.3053312,228.07200760021806,None,1639936213.3052387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,238.07220199983567,None,,,,,,,,,,,1639936217.3053746,235.07204560004175,None,1639936220.3057184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,245.07191810011864,None,,,,,,,,,,,1639936224.3054872,242.07220710022375,None,1639936227.305624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,252.0722290999256,None,,,,,,,,,,,1639936231.3055599,249.07219150010496,None,1639936234.3060095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,259.07231830013916,None,,,,,,,,,,,1639936238.3058639,256.07225169986486,None,1639936241.30552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,308.072591799777,None,,,,,,,,,,,,,,,263.0720881000161,None,1639936250.305819,268.0731401001103,None,1639936290.3054893,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,352.0733901998028,None,,,,,,,,,,,,,,,,,1639936294.3058825,312.07252629986033,None,1639936334.3066945,,,,,,,,,,,,,,,,,,,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,499.0740514001809,None,,,,,,,,,,,,,,,,,,,,,356.0730862999335,None,1639936343.3058617,400.0594064698089,None,1639936383.2951796,405.0661181001924,None,1639936392.3017595,410.0737862000242,None,1639936432.3069646,454.07363589992747,None,1639936441.3074293,459.0833192002028,None,1639936481.3080215,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,543.0822466998361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639936485.3081207,503.0742778000422,None,1639936525.3152528,,,,,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,587.0749067999423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639936529.3088558,547.0758662000299,None,1639936569.308486,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,631.0765538997948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639936573.3082342,591.0749470000155,None,1639936613.3107011,,LS,001,2021_Dec_19_1846,food_intake,2021.2.3,145.80490088392528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639936617.3085997,,,,,,,
