trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Welcome.started,Welcome.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,text_Yawning.started,text_Yawning.stopped,button_yawning.started,button_yawning.stopped,button_yawning.numClicks,button_yawning.timesOn,button_yawning.timesOff,image_2.started,image_2.stopped,text_3.started,text_3.stopped,button_3.started,button_3.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,image_3.started,image_3.stopped,text_7.started,text_7.stopped,button_6.started,button_6.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,button_4.started,button_4.stopped,button_4.numClicks,button_4.timesOn,button_4.timesOff,image_4.started,image_4.stopped,text_6.started,text_6.stopped,button_5.started,button_5.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,image_6.started,image_6.stopped,image_5.started,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,7.1947761999908835,None,8.153180700028315,None,1,[4.181140900007449],[4.181144300033338],7.1947761999908835,None,19.64701159996912,None,13.341546299983747,None,14.320336899952963,None,1,[0.3198929999489337],[0.3198959999717772],13.341546299983747,None,14.646284500020556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
1,0,1,0,,,,,,,,,,,,,,,,,,25.64752620004583,None,,,,,,,,,,20.646924400003627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
,,,,0,0,0,0,,,,,,,,,,,,,,29.556352699990384,None,,,,,,,,,,,,26.647301199962385,None,27.6331949000014,None,1,[0.9178963000886142],[0.9178994999965653],28.556788100046106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
,,,,1,0,1,0,,,,,,,,,,,,,,31.556668899953365,None,,,,,,,,,,,,,,,,,,,30.55655510001816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
,,,,,,,,0,0,0,0,,,,,,,,,,282.8923735000426,None,,,,,,,,,,,,,,,,,,,,,32.55707159999292,None,33.54273009998724,None,1,[3.5835209999931976],[3.583524000016041],37.132389300037175,None,42.133169100037776,None,43.11937249999028,None,1,[1.216035500052385],[1.2160384999588132],84.32829463995294,None,86.33514109998941,None,87.32703349995427,None,1,[194.56546770001296],[194.56547130004037],281.89363569999114,None,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
,,,,,,,,1,0,1,0,,,,,,,,,,284.89294359995984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.8920313999988,None,,,,,,,,,,,,,001,2021_Dec_06_1823,food_intake,2021.2.3,144.29056655309356,
,,,,,,,,,,,,,,,,,,,,,309.82890279998537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.89198499999475,None,285.89198499999475,None,1,[18.93161880003754],[18.931621900061145],306.8299979000585,None,310.82978360005654,None,,,,,,,
