trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.546497300034389,None,,001,2021_Dec_01_2042,food_intake,2021.2.3,144.19610669427482,
1,0,1,0,7.546014299965464,None,,001,2021_Dec_01_2042,food_intake,2021.2.3,144.19610669427482,
