trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome.started,Welcome.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,text_2.started,text_2.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,image.started,image.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,16.06209260004107,None,17.02157590002753,None,1,[0.45185969991143793],[0.45186299993656576],16.06209260004107,None,21.250701300101355,None,18.480063800001517,None,19.458840500097722,None,1,[0.7855311000021175],[0.7855341000249609],18.480063800001517,None,20.249960100045428,None,,001,2021_Dec_06_1819,food_intake,2021.2.3,138.9655129782725,
1,0,1,0,,,,,,,,,,23.25054700009059,None,,,,,,,,,,22.251697600004263,None,,001,2021_Dec_06_1819,food_intake,2021.2.3,138.9655129782725,
