trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;textWelcomeMessage.started;textWelcomeMessage.stopped;button.started;button.stopped;button.numClicks;button.timesOn;button.timesOff;text_blank4.started;text_blank4.stopped;text_2.started;text_2.stopped;button_2.started;button_2.stopped;button_2.numClicks;button_2.timesOn;button_2.timesOff;image.started;image.stopped;text.started;text.stopped;text_Yawning.started;text_Yawning.stopped;button_yawning.started;button_yawning.stopped;button_yawning.numClicks;button_yawning.timesOn;button_yawning.timesOff;image_2.started;image_2.stopped;participant;session;date;expName;psychopyVersion;frameRate;
0;0;0;0;6.5325793999945745;None;7.513295300072059;None;1;[0.29988830001093447];[0.29989230004139245];11.444596000015736;None;8.820578400045633;None;9.804755000048317;None;1;[0.6329484999878332];[0.6329528000205755];8.820578400045633;None;10.442140400060453;None;;;;;;;;;;;001;2021_Dec_01_1522;food_intake;2021.2.3;142.88388238804413;
1;0;1;0;;;;;;;;13.448945800075307;None;;;;;;;;;;12.450891499989666;None;;;;;;;;;;;001;2021_Dec_01_1522;food_intake;2021.2.3;142.88388238804413;
;;;;;;;;;;;18.910513199982233;None;;;;;;;;;;;;14.45287829998415;None;15.429100400069728;None;1;[2.4742870000191033];[2.4742909000488];17.911636300035752;None;;;;;;;
