trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,32.973952340951655,None,32.973952340951655,None,86.9091054769815,None,41.88805524096824,None,41.88805524096824,None,1640001273.9353878,46.912650896993,None,1640001313.929278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,130.9395193819655,None,,,,,1640001317.948967,90.93936154199764,None,1640001357.955164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,142.88422286999412,None,,,,,,,,,134.89801612094743,None,1640001366.919209,139.90683236299083,None,1640001369.916668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,149.92611773399403,None,,,,,,,,,,,1640001373.923396,146.91016020596726,None,1640001376.941696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,156.90421057899948,None,,,,,,,,,,,1640001380.932478,153.91709983098553,None,1640001383.916661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,163.92711980297463,None,,,,,,,,,,,1640001387.927077,160.89015526295407,None,1640001390.949552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,170.90496847196482,None,,,,,,,,,,,1640001394.9162,167.89977769198595,None,1640001397.940964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,177.911684916995,None,,,,,,,,,,,1640001401.935383,174.9028012729832,None,1640001404.931626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,184.92907900299178,None,,,,,,,,,,,1640001408.9216268,181.90964585496113,None,1640001411.952862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,191.91047391894972,None,,,,,,,,,,,1640001415.915594,188.89121428795625,None,1640001418.9335659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,002,2021_Dec_20_1254,food_intake,2021.2.3,None,
