trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Welcome.started,Welcome.stopped,Description.started,Description.stopped,text_blank4.started,text_blank4.stopped,Description_Speaking_Text.started,Description_Speaking_Text.stopped,image.started,image.stopped,TIMESTAMP_Speaking_Start,Speaking_Text.started,Speaking_Text.stopped,TIMESTAMP_Speaking_End,text_Yawning.started,text_Yawning.stopped,TIMESTAMP_Yawning_Start,image_2.started,image_2.stopped,TIMESTAMP_Yawning_End,text_3.started,text_3.stopped,TIMESTAMP_Resting_Start,image_3.started,image_3.stopped,TIMESTAMP_Resting_End,text_7.started,text_7.stopped,TIMESTAMP_Resting_Eyes_Closed_Start,sound_1.started,sound_1.stopped,TIMESTAMP_Resting_Eyes_Closed_End,text_4.started,text_4.stopped,TIMESTAMP_Eating_NSF_Start,image_4.started,image_4.stopped,TIMESTAMP_Eating_NSF_End,text_6.started,text_6.stopped,TIMESTAMP_Eating_Nuts_Start,image_6.started,image_6.stopped,TIMESTAMP_Eating_Nuts_End,TIMESTAMP_Eating_Bread_Start,image_5.started,image_5.stopped,TIMESTAMP_Eating_Bread_End,End_Experiment,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,242.39503838901874,None,,,,,,,,,,,1640002369.345361,239.3889723700122,None,1640002372.340672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,249.42328253900632,None,,,,,,,,,,,1640002376.352819,246.40592502901563,None,1640002379.3657532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,256.39604190096725,None,,,,,,,,,,,1640002383.360616,253.42989616299747,None,1640002386.3415082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,263.4240910030203,None,,,,,,,,,,,1640002390.34912,260.40248976199655,None,1640002393.3712718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,270.3925655009807,None,,,,,,,,,,,1640002397.352312,267.4030169650214,None,1640002400.339519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,277.4058173149824,None,,,,,,,,,,,1640002404.3357592,274.3844400519738,None,1640002407.355006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,326.411841535999,None,,,,,,,,,,,,,,,281.41310510400217,None,1640002416.361907,286.4138791040168,None,1640002456.360288,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,370.38045807299204,None,,,,,,,,,,,,,,,,,1640002460.3723168,330.42193626397057,None,1640002500.332972,,,,,,,,,,,,,,,,,,,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,517.3854718409711,None,,,,,,,,,,,,,,,,,,,,,374.4002905560192,None,1640002509.354784,418.36890851264275,None,1640002549.335826,423.38096995902015,None,1640002558.352389,428.4015574149671,None,1640002598.338457,472.40684110397706,None,1640002607.3703349,477.4127098679892,None,1640002647.349944,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,561.3914386249962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640002651.363735,521.4110610979842,None,1640002691.346245,,,,,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,605.3981382090133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640002695.362829,565.4048948279815,None,1640002735.355526,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,649.4178600910236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640002739.372637,609.4128301210003,None,1640002779.375013,,Lukas Stingl,001,2021_Dec_20_1309,food_intake,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640002783.343832,,,,,,,
